ADA,AVAX,BCH,BNB,BTC,DOGE,DOT1,ETC,ETH,LINK,LTC,LUNA1,MATIC,SOL1,UNI3,VET,XLM,XRP
0.081753999,5.234632015,220.0342255,24.10074043,10538.45996,0.002656,4.174462795,4.970046997,344.5031738,8.764184952,44.54504776,0.300502002,0.019647,2.915518999,3.905138016,0.012363,0.071987003,0.233417004
0.07683,3.521811962,208.1651306,22.87267876,10225.86426,0.002564,4.027708054,4.87906599,320.5855408,7.685820103,43.04205704,0.290726006,0.017732,2.846996069,4.357082844,0.011393,0.067777999,0.221656993
0.082895003,4.578369141,216.6938629,24.62203407,10745.54883,0.002644,4.382960796,5.022540092,349.3566589,9.833250999,44.96100616,0.302792013,0.018990999,3.151376963,5.139447212,0.012399,0.070630997,0.233017996
0.096909001,4.711471081,216.6597137,24.67837906,10702.29004,0.002706,4.423528194,5.013247013,352.1618652,10.71544456,46.00873566,0.324101001,0.019171,3.191359043,5.015684128,0.012898,0.074667998,0.241805002
0.095550001,4.541182041,221.8778381,26.23844147,10754.4375,0.002708,4.334268093,5.391321182,354.965271,10.33521461,46.13122559,0.316011995,0.018920001,3.139166117,4.800911903,0.012884,0.074221998,0.242368996
0.101205997,4.644225121,229.0739746,26.23986626,10774.42676,0.002701,4.302318096,5.464519024,357.3216858,10.77376366,46.01044083,0.312635005,0.018748,3.157870054,4.777029991,0.012741,0.073628999,0.243251994
0.100695997,4.206296921,226.3510132,26.98469353,10721.32715,0.002658,4.401093006,5.430210114,354.9505005,10.31758785,45.27067184,0.323103011,0.018936001,2.957844973,4.185194969,0.012845,0.073706001,0.242051005
0.101135999,4.142106056,229.2359467,28.85282516,10848.83008,0.002681,4.500072956,5.421401978,359.9634094,10.11119747,45.69805908,0.333463013,0.019675,2.952577114,4.440886974,0.013186,0.074424997,0.243138999
0.101145998,4.325939178,228.1009216,29.33098221,10787.61816,0.002642,4.353696823,5.405889988,360.0223694,9.857670784,46.28403854,0.334508002,0.020148,2.900069952,4.15993309,0.01353,0.074969999,0.242311001
0.097878002,4.15593195,228.1578674,27.47075462,10623.33008,0.002615,4.346024036,5.342927933,353.2312927,9.64744854,46.2831459,0.318232,0.01897,2.866904974,4.268764019,0.012738,0.073403999,0.238361001
0.097686999,3.992968082,222.385849,28.65879822,10804.00098,0.002627,4.170382977,5.119501114,354.2770996,9.646208763,46.3793869,0.311215997,0.018838,2.658379078,3.430521965,0.011395,0.073555999,0.250896007
0.092909001,3.544228077,220.4437561,27.76723671,10621.66406,0.00261,3.75564909,5.249242783,341.0211487,8.780579567,46.02378082,0.294919014,0.017201999,2.174531937,2.882009029,0.010134,0.072645001,0.245859995
0.093935996,3.460685968,223.5558472,27.75889587,10679.13672,0.0026,3.859263897,5.188158989,342.1197815,8.982042313,46.67470932,0.30320701,0.016982,2.30458498,2.970984936,0.011279,0.072595999,0.249041006
0.096242003,3.909959078,233.9446716,27.74929619,10923.62793,0.002603,4.117291927,5.192152023,351.455658,9.547591209,47.23840332,0.301555991,0.016643999,2.373238087,3.300523043,0.011012,0.073320001,0.251614988
0.105025001,4.026704788,237.3235168,28.31248665,11296.36133,0.002655,4.25295496,5.302433014,370.9675903,10.52479267,48.9210968,0.308088005,0.017207,2.406090021,3.331526995,0.011407,0.077372998,0.254290015
0.106537998,4.095879078,239.6698456,28.55558014,11384.18164,0.002674,4.262162209,5.437757015,375.1420593,10.84740734,50.72790146,0.321258008,0.017855,2.426578045,3.387239933,0.011447,0.077229001,0.255719006
0.107297003,4.150055885,259.1334839,30.91211891,11429.50684,0.002637,4.199113846,5.381024837,379.4840393,10.94910908,49.84648895,0.320308,0.017235,2.314635038,3.082022905,0.011147,0.074282996,0.249448001
0.106634997,4.127353191,261.3847351,31.29586411,11495.34961,0.002593,4.096810818,5.330965996,377.4418335,10.73775196,49.4903717,0.324310005,0.01719,2.2664361,2.906949043,0.010953,0.074041001,0.24594
0.104064003,4.040480137,250.3254089,29.99489975,11322.12305,0.002612,3.909528971,5.178281784,366.2290039,10.61954975,47.69287491,0.318984002,0.016253,2.149385929,3.034976959,0.010595,0.078702003,0.240443006
0.106104001,4.196009159,246.319931,30.2482357,11358.10156,0.002581,3.967252016,5.190179825,368.8559265,10.65252399,47.05392838,0.316729993,0.016742,2.201843023,3.000683069,0.010999,0.081915997,0.240931004
0.107387997,4.116062164,249.8121643,30.65952301,11483.35938,0.002586,4.104650974,5.222734928,378.2136841,10.88071346,47.61954498,0.31367299,0.016887,2.214267015,3.266859055,0.011632,0.079550996,0.242225006
0.108677,4.050311089,250.7097931,29.9250679,11742.03711,0.00259,3.990592003,5.221811771,379.9356079,10.88628292,48.0989151,0.320042014,0.016205,2.058079958,3.177664042,0.011419,0.085248999,0.245964006
0.102494001,3.802201033,242.8455505,28.80344391,11916.33496,0.002601,3.910342932,5.09724617,369.1369019,9.878593445,47.05102921,0.310478002,0.015632,1.888671994,2.869800091,0.010812,0.080906004,0.243572995
0.106187001,3.965959072,258.5145874,29.77235413,12823.68945,0.00263,4.141119957,5.369102955,392.1899719,10.80460739,53.04533005,0.312276989,0.016383,1.890377998,2.941374063,0.01136,0.083779998,0.251614988
0.110572003,4.314421177,266.4726257,30.65819168,12965.8916,0.002655,4.268949986,5.62027216,413.7729797,11.93933487,54.26727676,0.313993007,0.017403999,1.955652952,3.03944993,0.012134,0.085280001,0.256806999
0.108083002,4.262105942,270.3146667,30.63396072,12931.53906,0.002647,4.266849995,5.482522011,409.7666931,12.16379547,55.23868942,0.316516012,0.017039999,1.960034966,3.012190104,0.012229,0.083795004,0.254878998
0.108075,4.189700127,275.1220093,30.58882141,13108.0625,0.002646,4.355343819,5.525562763,412.4576111,12.73154831,59.09558868,0.311544001,0.017682999,1.911828041,2.943257093,0.012288,0.085437,0.256431013
0.106351003,4.153210163,271.0794373,30.10754013,13031.17383,0.002653,4.335230827,5.548081875,406.2177734,12.16005898,58.67480087,0.308086008,0.017165,1.787459016,2.775747061,0.011785,0.083143003,0.253212988
0.103096999,4.160973072,259.7825928,31.15456009,13075.24805,0.002679,4.727015972,5.450547218,393.8883057,11.74790192,56.74577713,0.304185003,0.016562,1.685466051,2.725903034,0.011407,0.080907002,0.248687997
0.102826998,4.122242928,264.5394287,31.63872147,13654.21875,0.002677,4.683951855,5.4540658,403.9970398,11.9738369,57.81605148,0.30915001,0.015799999,1.710232019,2.822398901,0.011378,0.081808999,0.252898991
1.189244032,28.41875076,561.6582642,335.2128906,59095.80859,0.061985999,37.67287827,14.41088676,1977.276855,30.23321915,204.1125183,18.51649475,0.36422199,19.08490181,28.73943138,0.089040004,0.432511985,0.579291999
1.196509004,29.11761093,585.7074585,339.0077209,59384.3125,0.057663999,41.16428375,15.28859901,2143.225586,32.5332489,213.2283936,18.56660461,0.384002,19.81022263,30.17564583,0.095040001,0.446585,0.616568983
1.17327702,28.25184822,536.678833,323.1335144,57603.89063,0.055803999,41.64603043,13.66550732,2028.422485,29.53488922,197.1482086,18.14192772,0.354030997,22.55227661,29.5498848,0.088818997,0.418054014,0.590915024
1.191419959,29.32971191,566.5130615,351.6243896,58758.55469,0.057404,44.65221024,14.61721325,2093.122803,30.95728111,204.0429077,18.34749794,0.362637013,24.06132317,31.06555557,0.094086997,0.437806994,0.646728992
1.214300036,31.24659348,648.5609741,367.7724915,59057.87891,0.059696,45.79722977,16.12794113,2107.887207,32.39665604,221.069046,17.5604744,0.370032996,22.98428345,30.79484558,0.102559999,0.536366999,0.92047298
1.255354047,31.55449486,667.7485962,403.5907593,58192.35938,0.064457998,43.43019867,17.86155128,2118.378906,34.79787827,237.6649017,16.73322487,0.374565989,24.95714569,31.32274818,0.1127,0.542743981,1.096266031
1.175148964,29.476511,618.5975342,374.6588135,56048.9375,0.059028,39.59401321,19.19184875,1971.077271,31.17518425,219.4236755,15.46347427,0.337208003,26.47808075,28.59392548,0.10571,0.473280013,0.917576015
1.219436049,30.76403427,647.5640869,418.0383911,58323.95313,0.061464,41.36595154,19.503685,2088.57373,32.74489975,227.0030212,15.74590397,0.356305987,27.03398705,30.22243118,0.117248997,0.50681603,1.052755952
1.203539968,31.53260994,635.7067261,453.1784668,58245.00391,0.061684001,40.84930801,18.76987076,2072.108887,31.63246727,221.8623657,15.6775856,0.367603004,27.77827454,29.56221962,0.126562998,0.486387014,1.020836949
1.218757987,31.80380249,673.9575806,472.5603333,59793.23438,0.063845001,41.62615204,20.39337921,2135.942139,31.89926147,255.6201935,15.51254654,0.358471006,26.84140396,29.79239082,0.142626002,0.561828971,1.374415994
1.266734958,31.60232162,696.6084595,525.3855591,60204.96484,0.074648999,41.42339706,20.43368149,2157.656982,33.91918182,253.6344604,15.14195538,0.370532006,27.93189049,29.97910118,0.139742002,0.588810027,1.360530019
1.316126943,33.88396835,674.7862549,598.7226563,59893.45313,0.070767,40.49749756,19.53263283,2139.353271,33.10542679,244.4943695,14.63973904,0.358043998,28.51212311,36.75481415,0.128922999,0.590592027,1.467735052
1.41178596,33.67353058,746.8653564,549.5865479,63503.45703,0.093445003,42.94791031,21.22306061,2299.187744,35.45663452,266.9814758,15.61818504,0.42207399,27.4355526,35.32226181,0.152961999,0.65535599,1.794000983
1.455420017,38.46286774,818.7034302,549.5918579,63109.69531,0.121517003,42.64084244,21.97785187,2435.10498,41.42370987,279.7484131,15.30222321,0.414680004,26.47511101,36.15106583,0.168742999,0.636735022,1.839236021
1.481588006,37.14306259,868.1555176,542.6320801,63314.01172,0.182207003,43.51596832,28.65219688,2519.116211,42.75316238,286.5906067,16.88690567,0.44273299,27.8183136,37.8483696,0.176570997,0.641040027,1.766067028
1.416949034,35.63131714,1110.654297,510.2201843,61572.78906,0.365869999,41.53797531,38.53741455,2431.946533,42.10155487,310.6127319,15.79843807,0.436446995,25.39736557,36.27965927,0.238088995,0.613263011,1.557526946
1.384868979,34.34145355,1006.324219,520.416748,60683.82031,0.284173012,42.53594971,38.3216362,2344.89502,40.3720665,304.7599182,15.33908367,0.40625301,25.0998745,35.09549332,0.227585003,0.599255025,1.560055017
1.275501013,29.25309372,965.6826172,481.0342407,56216.18359,0.320475012,37.34743118,37.00811386,2237.136963,39.06591034,273.0988159,13.39830875,0.362901002,32.30291748,31.74631882,0.254631996,0.544734001,1.405997992
1.197958946,26.2830658,894.1287231,505.092926,55724.26563,0.407317996,34.81666946,33.4969635,2166.188721,35.87938309,261.91922,13.90625,0.327199996,31.67589569,31.44609642,0.229339004,0.501233995,1.315044045
1.26593399,27.3479538,940.9869385,587.0291138,56473.03125,0.319499999,35.44443512,33.63383102,2330.210938,38.950634,260.9413452,13.43210316,0.341524005,31.77005386,31.96318817,0.251996994,0.527949989,1.383298993
1.206735015,25.90350342,913.9057617,546.0235596,53906.08984,0.306924999,33.8710289,32.15621567,2364.751709,36.43635941,258.805603,13.2811594,0.359228998,32.51304245,33.60398865,0.227230996,0.49208799,1.296497941
1.147017002,24.0349617,854.0779419,506.0130005,51762.27344,0.260966986,32.9884758,33.512146,2403.535156,35.23340607,253.0783539,13.64986229,0.349444985,38.87976074,34.13132095,0.190797001,0.450345993,1.159682035
1.155701995,23.49842453,838.847229,526.5652466,51093.65234,0.248509005,32.22798538,32.55838013,2363.586182,35.05847931,241.3587799,14.08147144,0.381808013,36.97842026,32.88169098,0.201285005,0.450892001,1.169659972
1.101354957,21.77752876,769.1758423,496.4150696,50050.86719,0.270211995,28.93283272,29.56983185,2211.625732,31.12519836,224.8357697,15.56937027,0.353428006,40.73731613,30.1158371,0.178278998,0.425745994,1.048706055
1.088250041,21.54312134,757.7087402,505.0770569,49004.25391,0.251111001,29.76248932,29.11128616,2316.05957,31.5406208,223.6328583,17.66337204,0.382883996,47.36762619,33.88875198,0.167778999,0.416438013,1.032256007
1.234019041,26.45927811,849.4700928,534.5776978,54021.75391,0.27067399,33.40662766,32.8110466,2534.481689,35.13598633,247.4059296,17.61704254,0.535193026,43.97651672,37.94541168,0.188861996,0.485610008,1.368505955
1.306926966,27.82036972,887.8625488,568.47052,55033.11719,0.272188008,34.70315933,33.71214676,2662.865234,36.80806732,259.6522827,17.72114182,0.832754016,43.23900223,39.61473083,0.208920002,0.509478986,1.400954962
1.335665941,28.32757378,909.8458252,562.6325684,54824.70313,0.32368201,33.96755219,35.01503754,2746.380127,36.22083664,258.5051575,16.81857681,0.773113012,44.82598495,42.80321121,0.198599994,0.497348994,1.358600974
1.308014035,27.92986488,880.6653442,599.706543,53555.10938,0.305168986,35.96815491,34.45800781,2756.876953,36.44501877,255.5852661,16.23683929,0.890872002,42.46054077,41.03312683,0.191357002,0.491797,1.399359941
1.352449059,32.91837311,993.4256592,624.0805664,57750.17578,0.337561011,36.54066467,36.36843109,2773.207031,38.12850571,271.1670837,16.68742752,0.820568025,42.95600128,40.69766617,0.201078996,0.529525995,1.59167397
1.353070974,31.89084244,1005.080078,619.347229,57828.05078,0.392987013,36.92968369,44.60925293,2945.892822,41.11626053,276.8335266,16.54162407,0.786821008,49.50802231,40.1997757,0.204190001,0.539802015,1.651025057
1.326812029,31.30495644,974.6554565,622.1010132,56631.07813,0.376046002,36.65452957,44.90375137,2952.056152,39.50485611,269.1043701,17.14510155,0.824512005,46.8909874,42.32731247,0.216028005,0.559491992,1.562641025
1.362030029,35.93231964,1017.299988,675.684082,57200.29297,0.441706985,37.25520706,52.05988693,3431.086182,42.05980682,294.70401,17.28481865,0.796139002,45.93368912,42.31752777,0.210778996,0.552142024,1.555994987
1.274111032,30.36143112,955.1824341,611.2003174,53333.53906,0.541333973,34.853508,69.49090576,3253.629395,45.68613815,306.2344971,16.33741188,0.704383016,42.72955704,43.164505,0.188578993,0.503323019,1.392375946
1.475528955,35.26311874,1454.935059,651.6627197,57424.00781,0.657633007,40.49504471,94.26644135,3522.783203,49.42929459,356.0370789,17.0177536,0.811084986,44.92357635,42.4961853,0.207319006,0.603429019,1.614511967
1.650123954,37.98084259,1505.765747,633.2803955,56396.51563,0.58080399,41.53346634,134.1017914,3490.880371,47.12740326,353.5103455,16.76829529,0.761784971,43.45567703,40.22020721,0.215279996,0.651031971,1.60058105
1.653452992,38.04991913,1343.247437,624.5632935,57356.40234,0.684777021,39.92985153,120.1297302,3484.729004,49.31119919,346.2535706,16.58276367,0.753129005,43.15501785,39.78305435,0.230846003,0.630376995,1.581755042
1.619554043,38.32207489,1402.368042,646.1008301,58803.77734,0.636439025,39.83269119,126.4883423,3902.647705,48.60890579,346.3687439,16.98498917,0.848258018,45.56153107,40.40708923,0.223312005,0.616550982,1.56259799
1.770562053,39.02163696,1428.528809,662.2285767,58232.31641,0.570070028,40.31284332,117.3763275,3928.844727,52.19869614,386.4507751,16.99380302,0.969865024,44.33019638,39.43003464,0.233757004,0.628588974,1.535292983
1.644695997,34.70148849,1321.401123,631.3519897,55859.79688,0.449963987,36.54177094,105.0252609,3952.293945,46.46869659,359.3293152,15.86888313,0.875069022,42.90963364,36.38795471,0.202802002,0.659578979,1.389006019
1.764076948,36.82477951,1542.425049,672.3339233,56704.57422,0.495231003,38.64228439,111.1402817,4168.701172,48.75476456,377.3887939,16.31117439,1.069219947,44.57746887,38.48997879,0.212826997,0.729996026,1.477681994
1.552775025,32.0162468,1209.806885,588.1851807,49150.53516,0.385376006,34.03139114,82.7591629,3785.848633,41.03371048,303.0848694,14.47517395,1.019014001,42.45730972,36.03806686,0.164562002,0.588705003,1.247864008
1.933668017,34.98023987,1251.692139,571.4345093,49716.19141,0.490373999,40.03165436,87.77384186,3715.148438,43.08983231,316.9093323,15.89557362,1.053153992,40.99785233,37.3691597,0.182071,0.644150972,1.358909965
2.004796028,36.95120239,1298.664795,603.1282959,49880.53516,0.559603989,47.94593811,104.1231766,4079.057373,46.5469017,326.2338562,16.40512848,1.470762014,42.71786499,40.32621384,0.186739996,0.668042004,1.402917027
2.174026966,34.41056442,1170.348389,563.041687,46760.1875,0.507972002,43.53863144,95.16750336,3638.12207,41.4983139,299.772522,15.21720028,1.608185053,43.46130753,36.57718277,0.172095001,0.676240981,1.485880017
2.309113026,36.51881027,1168.729004,562.829834,46456.05859,0.514895022,42.63151169,93.78987885,3587.506104,40.73714828,296.6270447,16.18236923,1.714745045,47.20082855,36.56150436,0.176736996,0.714302003,1.452605963
2.032226086,33.66225433,1068.65686,511.964386,43537.51172,0.487892002,38.7101593,89.93803406,3282.397705,37.19443893,281.7693176,14.95759201,1.727972984,46.86320496,33.2856369,0.158021003,0.645600975,1.496299982
2.003662109,36.82215881,1091.550171,508.0223083,42909.40234,0.476114988,40.64535522,88.67708588,3380.070068,42.54531479,294.6193237,15.70433712,2.454366922,55.91096115,35.07202911,0.162079006,0.647114992,1.590734005
1.482521057,23.38389587,706.7958374,339.0254822,37002.44141,0.333122998,25.22714233,60.12178802,2460.679199,26.70195961,189.5201721,9.644053459,1.659389973,35.10718155,23.42795753,0.107669003,0.450426996,1.070312977
1.810469031,25.19688416,821.6005249,393.6127625,40782.73828,0.400193989,29.15056992,74.05576324,2784.294189,30.78122902,212.2761383,10.40572739,1.841451049,44.74274826,26.39457321,0.131797001,0.497590005,1.185536981
1.552276969,21.80176926,687.9571533,326.2963257,37304.69141,0.359382004,24.46397018,64.04541016,2430.621338,25.57757759,180.1970367,8.265974998,1.482336044,38.81285095,21.90126038,0.108659998,0.419355005,1.006976008
1.463621974,18.85113907,631.7822266,299.5040894,37536.63281,0.342370987,22.01452446,58.53774261,2295.705566,23.29215813,169.5945587,6.583102226,1.193292022,31.31558228,20.38345528,0.099527001,0.389952987,0.906316996
1.325435996,15.75615215,556.1397705,262.9456787,34770.58203,0.308070987,18.02944183,51.96479416,2109.579834,20.00837326,143.5193634,4.10766983,1.086714983,24.68874741,16.83633423,0.086935997,0.367805004,0.797015011
1.549484968,19.4109478,748.4216919,345.3096313,38705.98047,0.366162002,23.19908905,73.42115784,2643.591064,26.36295891,183.9941254,6.590835094,1.717576981,31.28357124,24.62764931,0.111984,0.439702004,0.992834985
1.55536902,19.45080948,719.9478149,344.1139832,38402.22266,0.346302003,22.13013077,78.24352264,2706.628906,27.62983894,183.4978943,6.638655186,1.940050006,29.99707794,25.19501686,0.112363003,0.42881301,0.976186991
1.782701969,20.90567589,765.0488281,379.8543091,39294.19922,0.353693008,24.54968834,79.92976379,2888.69873,33.98487473,199.2243347,7.334159851,2.210166931,35.53981781,29.36829567,0.133100003,0.444673985,1.033725023
1.645959973,19.00033569,745.9550781,367.6557922,38436.96875,0.332944989,23.85298157,74.30797577,2736.488525,31.51471329,193.1210938,6.653355122,2.026745081,33.58459091,28.37033463,0.123299003,0.418590993,0.97023499
1.511986971,16.73341179,689.947876,329.8799133,35697.60547,0.311205,21.41009331,68.35733032,2419.90625,27.95169258,177.3206635,5.898266792,1.823294044,29.03927612,25.92494583,0.1083,0.398791999,0.900147974
1.406231999,16.1274929,651.5799561,305.0521545,34616.06641,0.303110003,19.86337471,64.28092957,2279.51416,25.39863968,163.8081055,5.490818977,1.698194027,27.37642097,23.17946434,0.098990001,0.367157012,0.831788003
1.577278972,16.53438568,663.5120239,325.7840271,35678.12891,0.30222401,20.47398758,66.36599731,2390.30542,26.8696022,170.9782257,6.218207836,1.864938021,28.60265923,25.74251938,0.107571997,0.375687987,0.906608999
1.742777944,18.16131973,703.8825684,354.3293457,37332.85547,0.325809985,23.43092728,70.21820831,2714.945313,32.0885849,188.0336761,6.56347084,1.881024003,32.81624603,28.36971092,0.126157999,0.403407007,1.04658401
1.734753013,17.77317047,691.4038696,362.7946472,36684.92578,0.370077014,22.81084633,67.78890228,2633.518311,30.69901276,182.9806976,6.303988934,1.821164012,30.98526001,27.39523315,0.120715998,0.417710006,1.011000991
1.752823949,18.67708015,697.9129639,401.2623291,37575.17969,0.423373997,25.95772743,68.39360046,2706.125,30.6563015,187.2639771,6.841399193,1.795897007,33.9563179,27.63147926,0.125834003,0.419010013,1.024399996
1.840471029,20.24371338,718.4481812,427.8079224,39208.76563,0.399962991,27.01345825,69.80142975,2855.126465,32.19055939,193.0861816,7.672639847,1.823845983,39.4709053,28.63080978,0.142690003,0.425343007,1.045320988
1.710908055,18.2474041,671.1391602,391.3953247,36894.40625,0.376323014,25.00829887,64.88108826,2688.195068,28.8757534,178.8720093,6.38573122,1.631484032,37.41506958,26.44299507,0.129297003,0.385039002,0.970196009
1.65900898,17.25030327,649.4383545,390.4318542,35551.95703,0.372177005,23.81677055,63.14029694,2630.576904,27.12679672,173.028717,6.055346012,1.527333975,39.58539963,25.60755157,0.125231996,0.375380009,0.923286021
1.678248048,17.40011024,657.4957275,393.8202209,35862.37891,0.371807009,24.20159912,64.10669708,2715.092773,27.55157661,176.6394348,6.249195099,1.583428025,42.30837631,25.91248131,0.128627002,0.381255001,0.945285976
1.564105988,15.52264023,596.0778809,357.3102112,33560.70703,0.331050009,21.62695885,57.8617897,2590.263184,24.52721024,161.7328033,5.584114075,1.48012197,38.26233292,24.19516563,0.114422999,0.346231997,0.861154974
1.588029981,14.86894035,597.0922852,354.0013733,33472.63281,0.327686995,21.74526978,56.90725708,2517.438721,24.17489815,161.1610718,5.619856834,1.485098958,41.51781464,23.53021812,0.113467,0.350567013,0.875787973
1.624825954,15.38689137,633.1434937,375.7346802,37345.12109,0.343331009,23.18493843,61.98173523,2608.26709,25.56934166,172.1386566,6.016342163,1.492426991,42.03177643,25.12730217,0.119981997,0.364291012,0.920033991
1.531857014,14.17640781,602.8461304,352.183197,36702.59766,0.326350987,22.68481636,57.9429512,2471.518555,23.1006794,168.203064,6.136998177,1.362205029,41.09867477,23.59715843,0.111854002,0.339210004,0.869181991
1.436378002,13.41897869,578.2715454,345.9336853,37334.39844,0.319359004,20.98585701,56.95616913,2353.768799,21.47896767,162.8805237,5.551538944,1.251965046,36.04608536,21.85096931,0.104878001,0.318661004,0.848450005
1.48021996,13.55193043,580.5331421,343.7410278,35552.51563,0.312083989,20.77703667,55.26553345,2372.484375,21.68654633,162.0148621,5.497508049,1.341269016,36.44168854,21.32251549,0.106030002,0.328296989,0.832683027
1.558359027,14.7755661,614.3549194,366.6489563,39097.85938,0.324382007,22.076334,59.05662537,2508.391602,23.33760071,170.9308777,6.072099209,1.469216943,38.77043533,23.2743206,0.112544,0.34472999,0.883159995
1.575109959,14.96583557,625.3695068,368.7927551,40218.47656,0.332085013,22.2053566,59.1567421,2537.891113,23.86089897,172.9490967,6.037555218,1.477862954,38.71305466,23.40723801,0.113035999,0.348302007,0.89289701
1.597756028,15.18004322,639.2045898,373.5661621,40406.26953,0.328381002,24.76083565,59.37721634,2610.936768,26.08422661,178.6594238,6.589106083,1.691460013,41.15364838,24.18085289,0.113476001,0.343813986,0.889800012
1.482573032,14.06767845,593.0466309,347.0334473,38347.0625,0.307761014,22.9721756,55.27223587,2367.663574,23.01507759,166.4589386,6.174939156,1.477197051,39.7036171,21.8322258,0.107486002,0.317373008,0.831907988
1.482193947,14.8320694,599.3579102,352.7385254,38053.50391,0.306495994,22.51145363,55.53529739,2372.001953,23.35679054,167.0556946,6.154644012,1.503793955,39.26459122,22.15489006,0.107220002,0.317561001,0.841437995
1.415395975,13.62787056,563.2868042,336.8096924,35787.24609,0.293471992,21.39889526,52.54550171,2231.733154,21.21115112,156.3556366,5.917374134,1.377261043,36.64879608,20.39336014,0.099463999,0.297656,0.797648013
1.390570045,13.45772934,554.8967285,335.7128296,35615.87109,0.287355989,20.35594177,51.14832687,2178.499023,20.42398262,153.2954559,5.763191223,1.363695025,35.35343552,19.91080666,0.097081997,0.290798992,0.761672974
1.429188013,13.97099113,557.5296021,340.0671997,35698.29688,0.280900002,20.67236328,51.11225128,2246.364502,21.73541641,155.0925903,5.891520023,1.398995996,35.32201385,20.80651283,0.098719001,0.297630012,0.776377022
1.177479982,11.21061611,456.293457,270.984436,31676.69336,0.178691,15.76990414,39.42816925,1888.44751,17.42409706,124.7864609,4.842235088,1.099051952,26.65740013,15.85063839,0.073716,0.236667007,0.610387981
1.153254032,10.52658176,443.7832642,261.8180847,32505.66016,0.191030994,14.65241241,36.52656937,1874.950073,16.80649185,119.602684,4.711923122,1.074383974,26.77185631,16.38027573,0.071470998,0.234630004,0.545067012
1.252895951,11.19394684,469.3756409,294.4902954,33723.02734,0.232173994,16.14249039,40.56602097,1989.736328,18.38720322,128.6749878,5.25257206,1.158586979,30.04888725,17.87169647,0.075764999,0.257174999,0.626534998
